Lemma,Count
busines,8
businessweek,5
businessland,1
buy,2
buyer,1
buzz,2
byer,1
byte,2
,2
cap,2
career,1
cb,1
cd,1
ceo,40
cern,1
ce,4
cfo,10
cia,1
ck,1
cmu,1
cobol,1
company,1
coo,2
cook,1
cp,1
cafe,1
calart,1
california,28
californian,2
camino,3
campbell,8
cancer,3
cannavino,4
canney,1
canon,6
cantor,1
cap,2
capital,2
capp,1
carlisle,2
carlyle,1
carnegie,5
carnival,1
castaway,1
castilleja,1
castle,1
catalog,5
cathy,2
catmull,109
caufield,1
cello,1
center,8
center,1
central,6
chairman,1
challenge,1
champ,1
chang,2
chapel,1
chaplin,1
chariot,1
charle,5
charlie,3
cherokee,1
chevy,1
chevy,2
chiat,1
chiat\day,1
chicago,1
chief,2
china,8
chingford,1
chinn,1
chino,2
chip,1
chri,1
chrisann,7
christ,2
christie,10
christma,4
chronicle,2
chrysler,2
church,4
churchill,4
cinema,1
cingular,1
circuit,2
circuit,1
circu,1
citie,3
city,16
civic,1
clara,6
clark,1
classic,1
cliff,1
clinton,3
clinton,1
clippit,3
closing,1
clow,37
club,7
coast,5
coke,2
coldplay,2
coliseum,1
collective,1
college,8
collin,20
colonial,1
colorado,1
coming,1
commencement,1
commerce,1
commission,5
committee,1
commodore,1
communication,4
compusa,2
companie,1
company,6
compaq,9
compaq,1
computation,1
computer,36
computerworld,1
computing,3
concerto,1
conference,2
confidential,2
consulting,1
consumer,2
contra,1
control,5
controller,1
cook,65
copland,1
corbi,6
corner,1
corning,1
corp,2
corp,2
corporation,10
corvette,1
costco,1
cotton,10
couch,1
council,3
county,4
court,3
courtesy,16
craft,1
craig,1
crandall,1
cray,3
crazy,1
cream,2
creativity,3
creek,4
crow,5
cruise,1
crystal,1
cube,11
cue,44
cult,1
culture,1
cupertino,45
customer,1
cuylenberg,1
cuylenburg,7
d.c,1
debut,1
dec,4
deeply,1
dna,1
do,13
daily,1
dalla,5
dan,2
daniel,3
dan’l,6
darren,1
das,3
data,6
dave,1
david,7
davie,5
davi,2
dawn,1
day,4
dayton,1
de,3
dewitt,1
dead,5
dean,1
december,24
deer,1
definitive,1
dell,12
dell,1
denise,1
department,3
design,8
desperate,1
detroit,4
detroiter,1
deutsche,1
developer,2
device,1
devin,2
diamondtouch,1
dianne,2
dick,1
dictionary,1
dieter,2
dietz,1
different,4
digital,2
director,1
director,1
discman,3
disease,1
dish,1
disney,142
disneyland,1
display,1
djansezian,1
doberman,1
docter,3
doctor,1
doerr,9
dogfight,2
dole,1
don,4
dougla,1
dr,6
dreamwork,2
dreamwork,1
drexler,2
dreyfu,2
dreyfus,4
dupont,1
duhigg,3
dwarf,1
dylan,9
,3
early,1
ed,2
emi,1
end,2
et,1
eventually,1
exile,1
eame,1
earhart,1
earth,3
earthlink,1
east,2
economic,1
ed,39
eddy,21
eden,1
edgar,1
edge,1
edison,2
edmund,1
edward,1
edwin,2
egghead,1
einstein,1
eisenhower,1
eisner,23
el,4
elbow,1
electric,1
electronic,2
electronic,6
elevation,1
elizabeth,1
ella,1
ellen,4
elli,1
ellison,13
elmer,1
elvi,1
emanuel,1
emerson,2
emeryville,5
emmy,1
endocarditi,1
engineering,1
english,2
enron,1
entertainment,1
entrepreneur,5
equipment,2
eric,5
erin,4
esquire,6
essex,1
esslinger,4
este,1
estridge,1
ethernet,2
europe,6
eve,4
evie,2
evolution,1
excel,6
exchange,5
explorer,1
explorer,2
expo,1
expres,3
extreme,1
eye,1
,1
faced,1
finally,1
fm,1
foray,1
fortune,1
fred,1
fadell,32
fairchild,2
fall,1
fame,1
family,1
fanning,1
fast,1
fastcodesign.com,1
fat,2
fe,1
feature,1
february,9
fernanda,3
fernandez,5
fi,11
field,1
fifth,1
film,2
finalcut,1
finding,2
firewire,1
firing,1
first,1
fiscal,2
fisher,1
fitzgerald,2
flash,8
flint,1
florida,2
floyd,1
fool,2
forbe,2
force,1
ford,3
fornaio,1
forstall,3
fortran,1
fortune,57
fortune.com,1
foster,2
foundation,5
founder,1
four,4
fourth,1
fox,1
foxconn,3
france,2
franci,1
francisco,31
frank,1
frankston,1
fred,30
frederick,1
fremont,2
french,3
frenchman,2
friday,6
friedland,7
friedman,1
frog,1
fry,1
fuck,1
fund,1
future,1
,2
,2
,1
,1
gassée,1
gm,2
great,1
,1
gui,3
galaxy,1
gamble,1
gap,1
garageband,1
garden,20
gareth,1
gartner,3
gassée,36
gate,4
gate,135
gateway,5
gatsby,1
gee,1
geek,1
gelsinger,1
genentech,1
general,6
generation,1
geniu,1
george,22
germany,1
gerry,1
gershwin,1
getty,1
gil,9
gillette,1
gina,1
girija,2
gish,1
giuliani,1
glas,1
glen,1
glendale,1
glenn,2
glib,1
global,1
god,10
golden,4
goldman,2
golf,1
goliath,1
good,3
goodrich,2
google,26
google,1
gordon,2
gore,1
gorilla,1
govindappa,1
graduate,1
graham,2
grain,1
graphic,1
graphic,10
grasset,2
grateful,4
grave,2
gravy,2
great,3
greatest,1
green,1
green,1
greg,5
greta,5
gretel,1
grey,1
grill,1
group,9
grove,26
grudge,2
gucci,1
guggenheim,3
,3
hp,8
hp,1
htc,3
habit,1
hall,9
hallmark,2
hancock,3
hank,1
hansel,1
hardware,1
hare,1
harmut,1
hartmut,1
harvard,3
haven,2
hawaii,6
hawaiian,1
hawley,1
hayden,2
health,1
heart,1
heathkit,2
heidrick,1
heinen,12
hell,1
hence,1
hennessy,4
herb,1
hereford,1
hermè,1
hertzfeld,5
hewlett,13
high,2
hill,1
hilton,2
hiltzik,1
himself,1
hinckley,1
hindu,1
hindu,2
historie,1
holding,1
hollywood,5
holme,1
holt,1
holy,1
home,2
homebrew,7
homebrewer,1
homestead,1
honda,2
honey,1
honeywell,2
hong,2
honolulu,1
hooper,1
horse,1
hospital,2
hotel,5
housewive,1
huey,3
hughe,1
human,1
hun,1
hungry,1
,1535
,2
,2
ibm,76
ibmer,1
ibmer,2
ibm,2
iger,2
ii,56
iii,22
iie,1
imovie,1
ipad,1
ipo,11
it,2
iv,1
icon,1
idea,1
iger,77
il,1
illinoi,1
image,2
image,1
impala,1
inc,21
incredible,2
india,12
indiana,1
indonesia,1
industrial,1
industrie,1
industry,2
infinite,2
infinity,2
infoworld,1
insanely,2
inspiration,1
institute,7
institution,2
instrumentation,1
instrument,3
intel,49
international,1
internet,1
interstate,1
intuit,3
invention,1
ireland,1
isaac,2
isaacson,6
island,5
issey,1
italy,5
ive,2
ivy,1
jean,1
job,1
john,1
jvc,1
jack,1
jackling,5
jagger,2
jame,5
jandali,2
jani,1
january,33
japan,2
japanese,1
jaw,1
jay,4
jazz,2
jean,10
jeep,2
jef,2
jeffrey,4
jennifer,1
jenning,1
jeopardy,1
jerry,5
jersey,3
jew,1
jim,11
joan,2
joanna,1
job,222
joe,6
joel,1
johannesburg,1
john,59
johnny,1
johnson,26
jon,23
jonathan,1
jone,4
jony,58
joplin,1
jose,3
joseph,1
jos,1
journal,22
joy,1
jr,5
july,28
jumbotron,4
june,22
jurassic,1
justice,3
,1
knew,1
ka,1
kansa,1
kare,1
karen,2
karoli,2
kashi,2
katherine,1
katie,9
katzenberg,22
kay,1
keeper,3
keith,1
kelleher,1
ken,1
kevork,1
key,1
khan,1
kilby,1
kimberly,2
king,4
kingdom,4
kirkland,1
klau,1
kleiner,1
knowledge,1
kobialka,2
kobun,2
kocieniewski,1
kodak,1
kona,2
kong,2
kottke,3
krishna,1
krueger,1
kryder,1
kyo,1
lasseter,1
lewi,1
lg,2
little,1
loui,1
loved,1
lsd,1
la,1
lab,5
laboratorie,4
lab,4
lack,6
lake,3
lanai,1
lance,1
land,3
lange,3
lanita,3
larry,19
la,5
lasseter,118
lasseter,1
laurene,97
laurent,1
law,2
lawrence,4
leadville,1
league,1
leap,1
lee,19
leigh,1
lennon,4
leno,1
leonard,2
leslie,1
level,2
levi,1
levinson,1
levy,6
lewin,19
li,1
life,9
light,1
lightning,1
lillian,1
lindbergh,1
linear,1
line,1
linn,1
linzmayer,2
lion,3
liquid,1
lisa,36
listerine,1
little,5
livingston,1
lloyd,1
lockheed,2
london,2
lonely,1
long,3
loop,2
lorna,3
lo,10
losing,1
lost,1
lotu,4
loui,10
lounge,1
louvre,1
love,2
low,1
lowe,3
loyalty,1
luca,20
lucasfilm,5
luck,3
lurie,2
luxo,4
lynch,1
,1
,2
mac,1
mai,1
management,1
mba,4
measured,1
memorial,1
mit,4
most,1
mp,1
,13
music,1
mvno,3
ma,2
mac,116
macbook,2
macbook,1
maco,1
macworld,26
macworld,1
macbook,1
mach,1
machine,1
macintosh,54
macor,1
mac,26
madison,2
magic,2
magnesium,1
maharaj,3
main,1
malcolm,1
man,2
management,1
managua,1
mandich,6
mane,1
manhattan,6
mansion,2
mantle,2
manuel,1
manzi,1
map,2
marc,3
march,25
marilyn,2
marin,4
markkula,23
markoff,1
marlin,1
marquardt,2
martha,1
martin,1
massachusett,2
mastercard,1
mateo,3
material,1
may,22
mayor,1
mccartney,1
mckenna,38
mcnealy,12
medical,1
melinda,1
mellon,5
melton,1
melville,1
memoir,2
memorial,4
memphi,3
menlo,4
mercede,3
mercury,1
mermaid,1
merrill,1
mervyn,1
mesa,1
message,1
messagepad,1
metropolitan,1
mexico,4
michael,25
michelangelo,1
mick,2
mickey,5
micro,2
microsd,1
microchip,1
microsoft,107
microsystem,8
mike,23
mile,2
milford,1
mill,2
mind,2
mineral,1
mini,3
mining,1
minneapoli,1
minnesota,1
minor,1
mitch,2
mitsubishi,1
mix,1
miyake,1
mobility,1
model,1
modern,2
mona,5
monday,4
monday,3
money,1
monster,3
moore,11
morale,1
more,4
morgan,1
morita,2
moritz,4
morri,1
morrison,1
morse,1
moscone,2
most,17
motion,1
motorola,22
motor,3
mount,2
mountain,2
mr,3
mucha,1
multi,1
murdoch,3
murphy,4
museum,4
music,19
myron,1
nbc,1
nci,1
ncr,3
nec,1
nv,1
nyit,3
nah,1
nancy,6
nano,1
nano,1
napster,6
nash,2
national,11
navigator,1
nazi,1
next,238
nextstep,8
nextcube,1
neem,2
neil,11
nelly,1
nemo,3
nest,3
netscape,7
network,1
nevada,1
never,1
new,35
newcastle,1
new,4
newsweek,8
newt,1
newton,17
next,6
niall,2
nicaragua,2
nicole,1
nightmare,1
no,4
nobel,2
nocera,14
nolan,4
norah,1
noriega,1
norman,1
north,1
northumbria,1
nose,2
note,1
november,8
nowland,2
noyce,10
observed,1
on,2
oop,2
osx,2
out,1
oakland,2
obama,1
october,43
odyssey,1
office,8
officer,1
ohhhhh,1
ohio,1
old,1
olympu,1
ono,2
ooh,1
open,3
opportunism,1
oracle,3
oral,1
orange,1
orchestra,1
ording,8
oregon,4
organization,1
orlando,1
ornish,1
oscar,4
oscar,1
otellini,1
otogawa,2
owen,2
oxford,1
oxley,1
,4
pain,1
parc,17
part,1
paul,1
pb,4
pc,3
pda,2
people,1
peter,1
pixar,2
,1
pta,1
pvc,2
pablo,1
pacer,1
pacific,2
packard,13
pad,1
page,9
paik,2
paine,2
palace,1
paley,1
palm,7
palo,39
paly,1
panama,1
panasonic,2
pandora,1
panther,1
paramahansa,2
pari,5
park,12
partner,2
pat,1
patriot,1
patty,3
paul,18
pay,1
pebble,1
pei,1
peninsula,1
penn,1
pennsylvania,1
pentium,2
people,10
pepper,1
pepsi,3
pepsico,2
perkin,1
perot,16
personal,1
pete,3
peter,5
phd,1
phil,3
philadelphia,1
philip,1
philip,2
picasso,2
picken,1
pickle,1
pilot,1
ping,1
pink,2
pinto,1
pippin,1
pixar,266
pixarian,2
plan,1
planet,1
plato,1
playboy,1
pocahonta,4
pocket,1
podolny,1
point,1
polari,1
polaroid,3
pong,3
popular,3
porsche,2
portalplayer,1
portland,1
potemkin,1
powell,10
power,8
powerbook,4
powerbook,4
powerhouse,1
powermac,1
powerpc,10
powerpoint,2
prada,1
president,6
price,1
princeton,1
principle,1
prison,1
prize,2
pro,2
procter,1
project,7
prologue,1
purple,6
qwerty,3
quentin,1
quint,1
quora,2
quora.com,1
quotation,1
,1
rca,1
registering,1
returned,1
rokr,12
ruby,1
radio,2
rafael,3
rahm,1
ralph,3
ralston,2
ram,3
rambler,1
ram,3
ranch,1
rand,9
randall,1
ranft,3
range,1
ranger,3
raskin,12
ratatouille,1
ray,5
reagan,2
real,2
realnetwork,1
reality,1
redse,1
redwood,2
reed,25
regi,15
reid,1
release,1
remo,2
renderman,4
report,1
research,8
reservoir,1
resort,1
ressmeyer,1
retail,1
retreat,1
revolution,3
rich,5
richard,4
richie,2
richmond,1
rick,2
ridley,1
riley,2
ringo,1
rip,2
road,3
robert,12
robertson,2
roche,2
rock,11
rodin,1
rodney,1
roger,2
rolex,1
rolling,3
roll,2
ron,3
ronald,3
rosa,1
rosati,1
roseland,1
roshi,1
ros,4
rotten,2
rotterdam,1
route,1
roy,2
royce,2
rubinstein,29
ruby,46
rudy,1
runner,1
rupert,2
russia,2
,4
said,1
save,1
sbc,2
scotty,1
sec,17
sense,1
september,1
shortly,1
siggraph,4
sparc,1
star,1
steve,29
steven,1
story,1
surrounded,1
suv,2
sach,2
safari,1
safe,2
saint,1
sakoman,1
salt,1
salvador,1
samsung,6
san,44
sand,2
sander,1
santa,3
sarafian,1
sarbane,1
saturday,6
save,1
saving,1
scene,1
schieble,3
schiller,3
schlender,11
schmidt,5
schneider,6
school,7
schuler,1
schulz,1
schure,7
schwartz,1
science,1
scientific,2
scott,18
scotty,29
scout,1
sculley,71
sculpture,1
sean,1
sear,3
season,3
seattle,7
secrecy,1
securitie,5
segal,1
semiconductor,6
senate,1
september,19
sequoia,1
sergey,2
seva,11
seven,1
sgt,1
shack,2
shaffer,2
shakespeare,2
sharp,2
shaw,1
shawn,2
sherlock,1
shockley,1
shop,2
shore,1
short,2
show,3
shuffle,1
sid,1
side,1
sidestep,1
siemen,1
sierra,1
silicon,59
simpson,3
sin,1
sina,6
singapore,1
skoll,1
skywalker,1
slade,46
slayer,1
smallest,1
smart,1
smith,18
smithsonian,2
soda,2
software,4
solari,1
solid,1
solomon,1
sondek,1
sonoma,2
sonsini,2
sony,30
sorkin,1
sorry,1
soundjam,9
source,1
south,2
southern,2
southerner,1
southwest,1
space,4
sperry,2
spielberg,2
spindler,12
sporck,2
spot,2
spring,1
st,1
stadium,2
stanford,39
stanley,1
stanton,7
star,4
starr,1
startup,1
state,4
state,10
statistic,1
stephen,6
stephen,2
steve,2075
steven,5
steven,3
steve,1
stewart,8
stone,2
stone,1
store,21
store,1
story,38
strand,1
strawberry,1
street,17
streiber,1
stros,1
struggle,1
studio,4
styrofoam,1
successful,1
suite,1
suiter,1
sun,33
sunbeam,1
sunbeam,1
sunday,8
sunday,1
sunnyvale,4
super,5
surface,1
susan,19
suzuki,2
svengali,1
sweden,1
sweet,1
swimming,1
swing,1
sydney,1
symphony,4
symposium,1
system,2
system,3
,1
,6
tbwa\chiat\day,2
theory,1
there,1
think,1
tim,1
time,1
too,1
tv,2
tahoe,1
taiwan,1
tamaddon,4
tamalpai,2
tangerine,1
tantrum,1
target,5
tauru,1
team,2
teardown,1
technical,1
technically,1
technology,3
ted,1
tedlow,1
telecommunication,1
telemetry,1
telephone,1
teleprompter,1
television,1
tell,1
ten,1
tennessee,1
terminator,1
terravera,1
terrell,6
terri,1
tesla,1
tesler,2
tevanian,45
texa,5
thai,1
thanksgiving,2
theater,1
their,1
thing,2
thoma,10
threat,1
three,1
thursday,2
tim,35
time,6
time,17
tin,4
tina,1
titanium,1
titan,1
tokyo,9
tom,4
tommy,1
tony,12
top,1
toshiba,4
touch,2
town,3
toy,40
track,1
treasure,1
tree,1
trek,1
treo,1
tribble,11
trident,1
trojan,1
tropicana,1
true,1
trust,2
tuba,1
tubby,1
tudor,1
tuesday,5
tuesday,1
tupelo,1
tyson,1
,2
u.s,11
,1
unix,1
unlike,1
up,1
url,1
union,1
united,12
univac,2
universal,1
university,20
unix,9
unkrich,1
unseen,1
useem,2
user,2
utah,2
uttal,2
,1
vc,1
vh,1
vii,2
vp,1
valentine,3
valentino,1
valley,61
vampire,1
van,2
vector,1
vega,1
vega,5
venice,1
venkataswamy,4
venting,1
venture,1
verizon,4
versaille,1
video,1
vietnam,2
view,2
village,3
vincent,1
violin,1
virginia,1
visa,1
visicalc,3
visionary,1
vitsœ,2
vogelstein,2
volkswagen,2
volvo,2
voyager,1
,4
woody,2
word,1
work,1
walkman,4
wall,19
wally,1
walmart,1
walt,8
walter,7
wang,4
war,5
warhol,1
warner,4
warnock,2
warren,1
war,4
washington,3
watching,1
watson,1
wavy,2
wayne,6
wealth,1
weather,1
webobject,4
weejun,1
week,2
weekly,1
weir,3
well,1
wen,1
west,6
westinghouse,1
wharton,1
whedon,1
white,5
whitney,1
whoa,1
whole,5
wi,11
wide,2
widget,1
william,3
william,1
willow,1
wilson,3
winblad,2
window,43
winston,2
wintel,5
wipro,1
wireles,1
wisconsin,2
woodside,8
woody,3
woohoo,1
woolard,12
word,4
wordperfect,1
world,7
worldwide,2
woz,77
wozniak,16
wright,1
,2
,1
,1
xmp,1
xerox,15
xiaomi,1
xserve,1
,1
yahoo,1
yale,1
yang,1
yankee,1
yeah,1
year,5
yerba,1
yo,2
yogananda,3
yogi,2
yoko,2
york,23
yorker,4
yosemite,2
youtube,4
young,5
yu,1
yve,1
zen,2
zenia,1
,47
,47
,3917
,1
a.m,2
aback,1
abandon,7
abandonment,1
abdominal,2
abet,1
abhor,2
abide,1
ability,26
able,59
abolish,1
abomination,1
aborted,2
about,599
above,13
abrogate,1
abrupt,1
abruptly,5
absence,2
absolute,5
absolutely,17
absorb,9
abstract,4
absurd,3
absurdly,1
abundant,1
abuse,2
abuser,1
abusive,2
academia,2
academic,6
accede,1
accelerate,6
accelerator,1
accent,2
accept,17
acceptable,2
acces,20
accessibility,1
accessible,6
accessory,3
accidentally,1
accolade,1
accommodate,7
accompany,6
accomplish,20
accomplished,1
accomplishment,4
accord,23
accordion,1
account,12
accounting,4
accumulate,3
accumulation,2
accurate,2
accurately,1
accusation,3
accuse,2
accustom,2
accustomed,1
ace,1
acerbic,1
ache,2
achieve,22
achievement,2
acid,3
acknowledge,12
acknowledgment,2
acquiesce,2
acquire,13
acquisition,6
acrobat,1
acronym,1
acros,26
act,25
action,15
activate,2
active,1
actively,1
activity,2
actor,2
actual,9
actually,42
ad,29
adage,2
adamant,2
adapt,11
adaptable,1
add,42
addition,3
additional,1
addled,1
addres,19
adenocarcinoma,1
adept,4
adequate,1
adhere,1
adjacent,1
adjective,3
adjoin,1
adjoining,2
adjunct,1
adjustment,1
admin,1
administrative,3
admirable,4
admiration,2
admire,9
admired,2
admirer,1
admission,3
admit,16
admittedly,1
admonishment,1
admonition,1
adolescence,1
adolescent,6
adopt,13
adopter,2
adoption,4
adoptive,2
adoration,1
adore,1
adp,2
adrift,1
adulation,1
adult,5
advance,9
advanced,9
advancement,1
advantage,17
advantageou,1
advent,1
adventure,2
adventurou,1
advertise,1
advertisement,3
advertising,15
advice,12
advise,3
adviser,10
advisor,1
advisory,1
advocacy,1
advocate,1
aesthete,1
aesthetic,21
affair,8
affect,7
affectation,1
affected,1
affection,1
affluent,1
afford,12
affordable,3
afield,1
afloat,4
afoot,1
afraid,2
after,293
afterglow,1
aftermath,1
afternoon,18
afterthought,1
afterward,8
afterward,3
again,111
against,36
age,16
agency,7
agenda,4
agent,1
agglomeration,1
aggregate,1
aggressive,5
aggressively,3
agnostic,1
ago,7
agree,32
agreement,9
ahead,28
ai,1
ailment,1
aim,9
air,7
aircraft,1
airline,4
airplane,1
airport,4
airy,2
aisle,2
akin,2
alarm,1
alarmed,1
alarming,3
alarmingly,1
albatros,1
albeit,13
album,11
alert,3
algorithm,2
alienate,3
align,3
alike,1
alive,12
all,443
allege,5
alleged,1
allegedly,1
allow,54
allowance,1
alloy,1
allure,2
ally,4
almost,61
alone,20
along,40
alongside,3
alpha,1
already,57
also,195
alter,3
alternative,8
although,19
altogether,3
aluminium,1
aluminum,5
alumnu,1
alway,141
amateur,2
amazing,21
amber,1
ambition,17
ambitiou,11
ambivalence,2
ambivalent,1
american,13
amis,1
among,21
amount,8
ampe,1
ample,2
amplifier,5
amplify,3
amply,1
amuse,1
amusement,1
amusing,2
an,599
analog,1
analogou,1
analogy,1
analysi,8
analyst,4
analytic,1
analytical,1
ancillary,3
and,4159
android,1
anecdote,3
anemic,1
anesthesia,1
anew,1
angel,2
anger,8
angle,5
angrier,1
angry,2
animal,2
animate,15
animated,2
animation,27
animator,17
animu,1
annal,1
anniversary,3
annotate,1
announce,33
announcement,16
annoying,1
annoyingly,1
annual,20
annually,2
anomaly,1
another,124
answer,26
ant,2
antennagate,1
anthem,1
anthropomorphize,2
anthropomorphized,2
anti,2
antibiotic,1
anticipate,9
anticipation,1
anticlimactic,1
anticompetitive,1
antipathy,3
antisocial,2
antitrust,5
antiwar,1
anxiety,3
anxiou,3
anxiously,2
any,143
anybody,9
anymore,12
anyone,57
anything,97
anytime,1
anyway,10
anywhere,10
aorta,1
apart,5
apartment,3
ape,2
apex,1
apiece,1
aplenty,1
aplomb,1
apologize,8
apostolic,1
app,18
apparent,6
apparently,4
appeal,13
appealing,1
appear,24
appearance,4
appetizer,1
applaud,3
applause,5
apple,9
appliance,6
applicant,1
application,77
apply,18
appoint,2
appointment,2
appraisal,1
appreciate,13
apprehensive,1
approach,30
approachable,5
appropriate,5
appropriately,2
approval,3
approve,6
approximate,1
approximately,2
apt,1
aquamarine,2
arc,1
arcana,1
arcane,1
arch,1
archaic,1
architect,8
architecte,3
architectural,1
architecture,11
archival,1
archive,12
arduou,2
area,17
arena,1
arguably,2
argue,13
argument,6
arise,6
arm,11
armchair,1
armed,1
armpit,1
army,1
arose,1
around,165
arrange,13
arrangement,4
array,9
arrival,5
arrive,22
arrogance,4
arrogant,5
arsenal,1
art,24
artfully,1
arthroscopic,1
article,22
articulate,9
articulating,1
artificial,2
artillery,1
artist,13
artiste,1
artistically,2
artistry,1
artles,1
,1078
ascend,1
ascetic,1
ascite,1
asian,4
aside,20
ask,117
asleep,2
aspect,15
aspirational,2
aspire,2
as,3
assassin,1
assemble,22
assembler,1
assembly,6
assert,4
assertion,1
assertive,1
assessment,3
asset,5
asshole,10
assign,4
assignment,3
assistant,9
associate,3
assorted,1
assortment,2
assume,9
assumption,4
assure,2
astonishing,1
astound,1
astounded,1
astounding,5
astute,1
at,945
at&t,1
athletic,2
athleticism,1
atm,2
atmosphere,2
atonement,1
atop,3
atrium,6
attach,3
attached,1
attachment,1
attack,10
attain,1
attempt,12
attend,26
attendance,3
attention,34
attentive,1
attire,1
attitude,5
attorney,3
attract,8
attractive,4
attribute,8
attuned,1
audaciou,4
audacity,1
audience,18
audio,12
audiocassette,1
audiophile,3
audit,1
auditing,1
auditorium,2
audit,1
augment,3
austere,3
authentic,1
author,5
authority,11
authorize,3
authorized,1
auto,1
autobiography,1
autodidact,2
automaker,2
automate,1
automatic,1
autonomou,2
autumn,2
avail,1
availability,1
available,28
aver,1
average,10
aviation,1
avid,2
avidly,1
avie,1
avoid,7
avoidable,1
avuncular,1
await,3
award,5
aware,5
awarenes,1
awash,1
away,58
awful,3
awkward,3
awkwardly,2
ax,1
,1
baby,7
bachelor,2
back,216
backbone,1
backdate,2
backdating,6
backdoor,1
backdrop,1
backer,1
background,20
backing,2
backseat,1
backstabber,1
backstage,1
backup,2
backward,2
backward,4
backyard,3
bad,40
badge,1
badger,1
badly,2
baffle,1
bag,5
bake,2
baked,2
balance,6
balcony,1
bale,1
balk,1
ball,2
ballroom,1
ballsy,2
balmy,1
band,4
bandwidth,2
bang,3
banish,3
bank,13
banker,5
bankroll,3
bankruptcy,3
banter,1
bar,4
bare,1
barefoot,5
barely,6
bargain,1
bargaining,1
barne,3
barrel,1
barrier,2
base,41
baseball,1
baseline,2
basement,1
bash,1
basic,16
basically,17
basification,1
basil,1
basi,6
bask,2
basket,2
bastard,2
bastion,1
batch,1
bathroom,2
baton,1
battery,5
battle,9
bauble,1
bay,3
be,5099
beach,2
beam,5
bean,1
bear,16
beard,1
bearded,1
bearer,1
beast,1
beat,9
beating,1
beautiful,18
beautifully,4
beauty,13
became,4
because,170
become,209
bed,7
bedrock,1
bedroom,6
bedside,2
beef,2
beehive,1
been,1
beep,1
beer,3
befit,2
befitting,1
before,141
befriend,1
befuddle,2
beg,1
begin,65
beginner,2
beginning,26
beguile,1
beguiling,2
beguilingly,1
behalf,1
behave,5
behavior,27
behavioral,2
behest,1
behind,30
behold,2
beholden,3
beige,1
being,3
belate,1
belatedly,1
beleaguered,1
belief,6
believe,93
belittle,1
bell,4
belly,2
bellyache,1
belong,5
belove,1
beloved,1
below,4
bemoan,1
bench,5
benchmark,2
bend,3
beneath,4
beneficial,1
beneficiary,2
benefit,24
benign,1
bent,2
berate,2
bereft,1
beside,2
beside,8
best,1
bestselle,2
bestseller,4
bet,9
beta,3
betray,4
betrayal,2
between,53
beyond,20
bezel,1
bia,1
bible,1
bibliography,3
bicycle,4
bid,1
big,162
biggest,1
bike,2
bill,6
billboard,4
billing,5
billion,47
billionaire,8
bin,1
binary,1
